country,wage_ratio,hourly_wage_econ,hourly_wage_tour,tourism_intensity,gdp_pps,vet_share,ln_tourism,ln_gdp
Belgium,0.7054320987654321,40.5,28.57,1751.15,118.0,0.5568616983609058,7.468027993950882,4.770684624465665
Bulgaria,0.5220700152207002,6.57,3.43,1821.89,57.0,0.5146811958076665,7.507629702781122,4.04305126783455
Czechia,0.7002743484224966,14.58,10.21,2934.61,96.0,0.7049132112594636,7.984329844386997,4.564348191467836
Denmark,0.6651815549120071,44.89,29.86,4065.17,132.0,0.3816796553695158,8.310210841525667,4.882801922586371
Germany,0.5675895765472312,36.84,20.91,3135.36,123.0,0.48760396386330757,8.050499279010156,4.812184355372417
Estonia,0.6162046908315565,14.07,8.67,2764.54,85.0,0.39878546931999387,7.9246295348359075,4.442651256490317
Ireland,0.366945107398568,33.52,12.3,3219.94,205.0,0.24148673468491033,8.077118004824476,5.3230099791384085
Greece,0.7369186046511629,13.76,10.14,3589.57,62.0,0.3191996534893794,8.185787697149694,4.127134385045092
Spain,0.6565217391304348,23.0,15.1,3057.54,83.0,0.3655698238883297,8.02536595005956,4.418840607796598
France,0.6146907216494846,38.8,23.85,3821.87,104.0,0.39281174449135753,8.2484951106163,4.6443908991413725
Croatia,0.8147163120567376,11.28,9.19,10365.13,66.0,0.6933749940950594,9.246202567000585,4.189654742026425
Italy,0.6747855917667239,29.15,19.67,3495.0,93.0,0.525088117469437,8.15908865466791,4.532599493153256
Cyprus,0.42321016166281755,17.32,7.33,4128.03,89.0,0.16828783221840535,8.325555574576851,4.48863636973214
Latvia,0.7195121951219512,10.66,7.67,1514.59,69.0,0.3927469526073542,7.322900054254651,4.23410650459726
Lithuania,0.6138132295719845,10.28,6.31,1755.09,87.0,0.24766676161592466,7.470275416636369,4.465908118654584
Luxembourg,0.6220389170896785,47.28,29.41,2704.62,256.0,0.616070085727177,7.902716700820762,5.545177444479562
Hungary,0.6063394683026585,9.78,5.93,1506.67,75.0,0.49655551277366444,7.317657196545101,4.31748811353631
Malta,0.4935361216730038,13.15,6.49,5720.41,105.0,0.2759694310784036,8.651795760126754,4.653960350157523
Netherlands,0.5766268260292166,37.65,21.71,4906.76,131.0,0.6809600198168135,8.498369125172976,4.875197323201151
Austria,0.5527762506871907,36.38,20.11,8890.33,123.0,0.6870792029923343,9.092719448178961,4.812184355372417
Poland,0.6706312900274474,10.93,7.33,1353.52,79.0,0.5313573680990258,7.210463885450541,4.3694478524670215
Portugal,0.6810059563203177,15.11,10.29,2906.67,75.0,0.3872451314384502,7.974763375023249,4.31748811353631
Romania,0.5802919708029196,8.22,4.77,747.82,72.0,0.564683958000139,6.617162307304385,4.276666119016055
Slovenia,0.9280540801545146,20.71,19.22,4384.02,88.0,0.7081245646752197,8.38572139066124,4.477336814478207
Slovakia,0.6149341142020498,13.66,8.4,1729.21,74.0,0.6733393842538714,7.4554199357978055,4.30406509320417
Finland,0.7264178665883044,34.03,24.72,2592.38,112.0,0.6783718123061409,7.860331651664983,4.718498871295094
Sweden,0.6728086338510133,37.99,25.56,3854.2,120.0,0.3560276226601918,8.25691874176382,4.787491742782046
Iceland,0.6544156530936013,37.82,24.75,9050.4,123.0,0.29453154514544766,9.110564234612257,4.812184355372417
Norway,0.5388379204892967,49.05,26.43,4419.28,141.0,0.5131589271982548,8.39373206587516,4.948759890378168
Serbia,0.7121879588839941,6.81,4.85,894.71,44.0,0.7349488439283418,6.796499643421904,3.784189633918261
Türkiye,0.5333333333333333,4.2,2.24,1146.33,61.0,0.3939309337533202,7.044320813937888,4.110873864173311
