country;wage_ratio;hourly_wage_econ;hourly_wage_tour;tourism_intensity;gdp_pps;vet_share;ln_tourism;ln_gdp;Employment_Share;VAB_Share;unemployment_rate
Belgium;0.705432099;40.5;28.57;1751.15;118;0.556861698;7.468027994;4.770684624;0.028901971;0.009206814;0.058
Bulgaria;0.522070015;6.57;3.43;1821.89;57;0.514681196;7.507629703;4.043051268;0.035638687;0.019943508;0.061
Czechia;0.700274348;14.58;10.21;2934.61;96;0.704913211;7.984329844;4.564348191;0.033304446;0.008576973;0.026
Denmark;0.665181555;44.89;29.86;4065.17;132;0.381679655;8.310210842;4.882801923;0.044313917;0.010485421;0.056
Germany;0.567589577;36.84;20.91;3135.36;123;0.487603964;8.050499279;4.812184355;0.038740382;0.008092547;0.036
Estonia;0.616204691;14.07;8.67;2764.54;85;0.398785469;7.924629535;4.442651256;0.03859709;0.011323223;0.069
Ireland;0.366945107;33.52;12.3;3219.94;205;0.241486735;8.077118005;5.323009979;0.060448898;0.009096301;0.059
Greece;0.736918605;13.76;10.14;3589.57;62;0.319199653;8.185787697;4.127134385;0.118730831;0.040009959;0.176
Spain;0.656521739;23;15.1;3057.54;83;0.365569824;8.02536595;4.418840608;0.062917156;0.030082617;0.155
France;0.614690722;38.8;23.85;3821.87;104;0.392811744;8.248495111;4.644390899;0.04339979;0.012632722;0.08
Croatia;0.814716312;11.28;9.19;10365.13;66;0.693374994;9.246202567;4.189654742;0.058768328;0.028221168;0.074
Italy;0.674785592;29.15;19.67;3495;93;0.525088117;8.159088655;4.532599493;0.062754479;0.024853662;0.093
Cyprus;0.423210162;17.32;7.33;4128.03;89;0.168287832;8.325555575;4.48863637;0.086360004;0.021209662;0.076
Latvia;0.719512195;10.66;7.67;1514.59;69;0.392746953;7.322900054;4.234106505;0.031967508;0.012763646;0.081
Lithuania;0.61381323;10.28;6.31;1755.09;87;0.247666762;7.470275417;4.465908119;0.024362983;0.009262972;0.085
Luxembourg;0.622038917;47.28;29.41;2704.62;256;0.616070086;7.902716701;5.545177444;0.045591416;0.009889155;0.068
Hungary;0.606339468;9.78;5.93;1506.67;75;0.496555513;7.317657197;4.317488114;0.035770884;0.012132387;0.041
Malta;0.493536122;13.15;6.49;5720.41;105;0.275969431;8.65179576;4.65396035;0.076315103;0.017790111;0.049
Netherlands;0.576626826;37.65;21.71;4906.76;131;0.68096002;8.498369125;4.875197323;0.044414112;0.008585606;0.049
Austria;0.552776251;36.38;20.11;8890.33;123;0.687079203;9.092719448;4.812184355;0.058514774;0.019614425;0.06
Poland;0.67063129;10.93;7.33;1353.52;79;0.531357368;7.210463885;4.369447852;0.022320712;0.00900821;0.032
Portugal;0.681005956;15.11;10.29;2906.67;75;0.387245131;7.974763375;4.317488114;0.068674159;0.033739967;0.071
Romania;0.580291971;8.22;4.77;747.82;72;0.564683958;6.617162307;4.276666119;0.023772146;0.017904455;0.061
Slovenia;0.92805408;20.71;19.22;4384.02;88;0.708124565;8.385721391;4.477336814;0.039896383;0.011826504;0.05
Slovakia;0.614934114;13.66;8.4;1729.21;74;0.673339384;7.455419936;4.304065093;0.039494471;0.013105556;0.067
Finland;0.726417867;34.03;24.72;2592.38;112;0.678371812;7.860331652;4.718498871;0.028841699;0.008973262;0.077
Sweden;0.672808634;37.99;25.56;3854.2;120;0.356027623;8.256918742;4.787491743;0.032602368;0.009683911;0.085
Iceland;0.654415653;37.82;24.75;9050.4;123;0.294531545;9.110564235;4.812184355;0.057353246;0.01690139;0.055
Norway;0.53883792;49.05;26.43;4419.28;141;0.513158927;8.393732066;4.94875989;0.033226152;0.008858898;0.047
Serbia;0.712187959;6.81;4.85;894.71;44;0.734948844;6.796499643;3.784189634;0.027703598;0.009085657;0.098
